asset_group,bucket,vm_shard,total_rows,v8_rows,v_lt_8_rows,null_rows,schema_versions_seen
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2026-light-20260504-194845.parquet,30,0,30,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-gbtc-2025-20260504-232835.parquet,30,0,30,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-binance-futures-2026-heavy.parquet,29,0,29,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-bybit-2023-heavy.parquet,29,0,29,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-arkb-2026-20260504-232835.parquet,29,0,29,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-bitfinex-futures-2024-heavy-20260501-184520.parquet,27,0,27,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-upbit-2024-heavy.parquet,27,0,27,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-bito-2025-20260504-232835.parquet,27,0,27,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-coinbase-spot-2023-sol-usd--20260506-212742.parquet,26,0,26,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,mdps-cefi-2026-20260503-123258.parquet,26,0,26,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-recent-cboe-20260504-233149.parquet,26,0,26,0,6
cefi,instruments-store-cefi-prd-central-element-323112,cefi-instr-deribit-20260504-183506.parquet,25,0,25,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-ethe-light-2026-20260430-033618.parquet,25,0,25,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-gbtc-light-2026-20260430-033331.parquet,25,0,25,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-etha-light-2026-20260430-033421.parquet,24,0,24,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-ibit-light-2026-20260430-033139.parquet,24,0,24,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2021-heavy-20260504-145939.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_aavev3_arbitrum_1a99c3.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_aavev3_avalanche_f6852f.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_aavev3_base_476cfe.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_aavev3_bsc_2cff72.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_aavev3_ethereum_027dbb.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_aavev3_linea_356113.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_aavev3_optimism_c36a65.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_aavev3_polygon_8edb4e.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_balancer_arbitrum_702f7b.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_balancer_avalanche_2522b8.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_balancer_base_e034ed.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_balancer_optimism_da38c7.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_balancer_polygon_017c9c.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_compoundv3_arbitrum_776191.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_compoundv3_base_215326.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_compoundv3_ethereum_eb5f0b.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_compoundv3_optimism_3e1ec3.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_curve_avalanche_7a32c4.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_curve_optimism_8e47f6.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_ethena_ethereum_ffd856.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_etherfi_ethereum_090d45.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_fluid_ethereum_205983.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_jito_solana_334cfc.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_morpho_base_0af819.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_morpho_ethereum_1fa042.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_uniswapv3_arbitrum_82a542.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_uniswapv3_base_5642a3.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_uniswapv3_optimism_f4d7d0.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_uniswapv3_polygon_af3756.parquet,23,0,23,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_uniswapv4_ethereum_91f858.parquet,23,0,23,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,mtds-es-opt-refill-20260506-092803.parquet,23,0,23,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-ethe-2024-20260504-232835.parquet,23,0,23,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-fbtc-light-2026-20260430-042749.parquet,23,0,23,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-bitfinex-futures-2022-heavy-20260504-194158.parquet,22,0,22,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-okx-spot-2021-heavy-20260506-150808.parquet,22,0,22,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_balancer_ethereum_7df223.parquet,22,0,22,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_curve_ethereum_a0863b.parquet,22,0,22,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_lido_ethereum_1e3475.parquet,22,0,22,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_uniswapv2_ethereum_843c6c.parquet,22,0,22,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-feth-light-2026-20260430-033520.parquet,22,0,22,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-bitfinex-futures-2020-heavy-20260506-160314.parquet,21,0,21,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-deribit-2025-light.parquet,21,0,21,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-deribit-2026-light.parquet,21,0,21,0,6
defi,instruments-store-defi-prd-central-element-323112,local_defi_uniswapv3_ethereum_67f617.parquet,21,0,21,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-es-2026-20260504-231321.parquet,21,0,21,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-es-light-2022-20260430-031335.parquet,21,0,21,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-deribit-2023-heavy.parquet,20,0,20,0,6
sports,instruments-store-sports-prd-central-element-323112,us-backfill-20260504-183556.parquet,20,0,20,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-recent-fx-20260504-233149.parquet,20,0,20,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-binance-spot-2020-heavy.parquet,19,0,19,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-binance-spot-2021-heavy-20260505-152844.parquet,19,0,19,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-binance-spot-2021-heavy-20260506-121357.parquet,19,0,19,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-binance-spot-2025-heavy.parquet,19,0,19,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-btc-2026-20260505-082706.parquet,19,0,19,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-es-2026-20260505-082706.parquet,19,0,19,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-eth-2026-20260505-082707.parquet,19,0,19,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-feth-2024-20260504-232835.parquet,19,0,19,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-coinbase-spot-2025-heavy-20260506-204954.parquet,18,0,18,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2023-heavy-20260504-194635.parquet,18,0,18,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2024-heavy-20260506-180030.parquet,18,0,18,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-upbit-2026-heavy.parquet,18,0,18,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-btc-2026-20260504-231321.parquet,18,0,18,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-es-light-2025-20260430-024316.parquet,18,0,18,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-eth-2026-20260504-231322.parquet,18,0,18,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-es-opt-2026-20260504-231321.parquet,17,0,17,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-coinbase-spot-2025-doge-usd--20260506-212742.parquet,16,0,16,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2026-light-20260506-162304.parquet,16,0,16,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-extended-starknet-smoke3-20260502-160634.parquet,15,0,15,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-lighter-zksync-smoke3-20260502-160634.parquet,15,0,15,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-pacifica-solana-smoke3-20260502-160634.parquet,15,0,15,0,6
cefi,instruments-store-cefi-prd-central-element-323112,local_okx_futures_20260504-213833_0b6880.parquet,14,0,14,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-es-light-2023-20260430-031350.parquet,14,0,14,0,6
